customer_id,gender,age,has_partner,has_dependents,tenure_months,contract_type,internet_service,phone_service,online_security,online_backup,streaming_tv,payment_method,monthly_charges,total_charges,num_support_tickets,churn
CUST-00042,Male,46,No,No,46,One year,Fiber optic,Yes,No,No,No,Mailed check,94.14,4499.56,2,No
CUST-00043,Male,29,No,No,25,One year,Fiber optic,Yes,No,Yes,No,Mailed check,102.33,2661.53,4,No
CUST-00044,Female,57,Yes,No,33,One year,Fiber optic,Yes,Yes,No,Yes,Bank transfer,147.11,4869.0,1,No
CUST-00045,Female,78,Yes,No,27,One year,Fiber optic,Yes,No,No,No,Bank transfer,91.61,2502.94,2,No
CUST-00046,Female,39,Yes,No,34,One year,Fiber optic,Yes,Yes,No,Yes,Electronic check,110.86,3861.47,2,No
CUST-00047,Female,19,Yes,No,22,One year,None,Yes,No,No,No,Mailed check,45.47,1048.27,4,Yes
CUST-00048,Female,25,No,No,53,Month-to-month,None,Yes,No,No,No,Mailed check,47.02,2613.15,2,No
CUST-00049,Female,44,No,No,18,Month-to-month,DSL,Yes,No,No,No,Credit card,79.43,1438.8,1,No
CUST-00050,Female,37,Yes,Yes,63,Two year,None,Yes,No,No,No,Credit card,35.98,2324.58,3,No
CUST-00051,Female,47,Yes,No,44,Month-to-month,DSL,Yes,No,No,No,Electronic check,68.44,2747.15,1,No
CUST-00052,Male,43,No,No,26,Month-to-month,Fiber optic,Yes,No,No,No,Bank transfer,101.72,2570.34,3,Yes
CUST-00053,Male,48,Yes,No,72,Two year,DSL,Yes,No,No,No,Mailed check,79.48,6016.88,0,No
CUST-00054,Female,51,Yes,No,57,Two year,Fiber optic,Yes,Yes,No,No,Mailed check,116.86,6634.24,4,No
CUST-00055,Female,46,Yes,No,51,One year,None,Yes,No,No,No,Credit card,40.58,2246.9,3,No
CUST-00056,Male,46,No,No,72,Two year,Fiber optic,Yes,No,No,No,Mailed check,79.02,5189.17,2,No
CUST-00057,Female,55,Yes,No,2,Month-to-month,Fiber optic,Yes,No,No,Yes,Bank transfer,124.27,258.87,3,Yes
CUST-00058,Male,48,No,Yes,4,Month-to-month,Fiber optic,Yes,No,Yes,No,Mailed check,99.15,373.33,3,Yes
CUST-00059,Male,43,Yes,Yes,1,Month-to-month,None,Yes,No,No,No,Electronic check,44.5,44.78,1,Yes
CUST-00060,Male,48,No,No,4,Month-to-month,DSL,Yes,No,No,No,Bank transfer,66.57,280.18,2,No
CUST-00061,Male,39,Yes,Yes,4,Month-to-month,None,Yes,No,No,No,Credit card,42.19,170.4,3,No
CUST-00062,Male,42,No,Yes,54,Two year,Fiber optic,Yes,No,No,No,Electronic check,107.15,5972.84,4,No
CUST-00063,Female,77,No,No,26,Month-to-month,None,Yes,No,No,No,Credit card,39.06,1109.34,0,No
CUST-00064,Female,50,Yes,Yes,12,Month-to-month,None,Yes,No,No,No,Bank transfer,37.9,421.87,1,No
CUST-00065,Female,18,No,No,2,Month-to-month,None,No,No,No,No,Electronic check,20.86,42.23,4,Yes
CUST-00066,Female,34,Yes,No,35,Month-to-month,DSL,No,Yes,No,No,Credit card,55.99,2004.71,1,Yes
CUST-00067,Female,54,No,Yes,1,Month-to-month,DSL,Yes,Yes,No,Yes,Electronic check,79.8,84.41,3,No
CUST-00068,Female,38,No,Yes,1,One year,None,Yes,No,No,No,Electronic check,36.13,36.13,2,No
CUST-00069,Female,35,No,No,13,Month-to-month,None,Yes,No,No,No,Credit card,35.41,428.44,3,Yes
CUST-00070,Female,28,Yes,No,36,One year,DSL,Yes,No,No,Yes,Credit card,76.7,2943.08,3,No
CUST-00071,Female,47,No,No,17,Month-to-month,Fiber optic,Yes,No,No,No,Electronic check,82.54,1487.26,3,Yes
CUST-00072,Male,41,No,No,10,One year,DSL,Yes,No,No,Yes,Mailed check,69.19,761.15,4,No
CUST-00073,Male,31,Yes,No,29,Two year,Fiber optic,Yes,No,No,No,Bank transfer,70.21,2074.63,1,No
CUST-00074,Female,18,No,Yes,62,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Mailed check,119.75,6846.91,0,No
CUST-00075,Female,40,No,Yes,15,Month-to-month,None,Yes,No,No,No,Bank transfer,45.62,629.37,3,No
CUST-00076,Male,40,Yes,Yes,13,Month-to-month,None,Yes,No,No,No,Electronic check,41.52,559.53,2,No
CUST-00077,Male,43,Yes,No,7,Month-to-month,None,Yes,No,No,No,Electronic check,31.51,223.8,1,Yes
CUST-00078,Female,30,No,No,20,Month-to-month,DSL,Yes,Yes,No,No,Mailed check,85.15,1700.37,3,No
CUST-00079,Female,75,No,No,63,Two year,DSL,Yes,Yes,No,Yes,Mailed check,101.11,6286.49,0,No
CUST-00080,Female,37,Yes,No,66,Two year,DSL,Yes,Yes,No,Yes,Electronic check,97.85,6045.42,2,No
CUST-00081,Male,20,Yes,Yes,42,One year,None,Yes,No,No,No,Bank transfer,35.8,1381.01,2,No
CUST-00082,Female,47,No,Yes,1,Month-to-month,DSL,Yes,Yes,No,Yes,Mailed check,85.06,85.06,1,Yes
CUST-00083,Male,45,No,Yes,47,One year,Fiber optic,No,No,No,Yes,Mailed check,82.3,3967.42,4,No
CUST-00084,Female,46,No,No,46,Two year,None,Yes,No,No,No,Electronic check,34.39,1720.33,3,No
CUST-00085,Female,55,No,No,62,Two year,Fiber optic,Yes,Yes,Yes,No,Bank transfer,98.18,6131.06,1,No
CUST-00086,Male,66,No,No,21,Month-to-month,DSL,Yes,No,No,No,Electronic check,58.2,1240.7,2,Yes
CUST-00087,Male,36,No,No,7,Month-to-month,DSL,Yes,No,No,Yes,Credit card,87.18,562.76,2,Yes
CUST-00088,Female,70,Yes,Yes,42,One year,None,Yes,No,No,No,Credit card,40.68,1587.79,0,No
CUST-00089,Female,44,Yes,Yes,60,Two year,Fiber optic,Yes,No,Yes,No,Electronic check,111.38,6453.47,3,No
CUST-00090,Male,33,Yes,No,16,One year,Fiber optic,Yes,No,No,No,Mailed check,97.39,1558.12,4,No
CUST-00091,Female,34,Yes,No,1,Month-to-month,Fiber optic,Yes,No,No,No,Bank transfer,99.12,99.12,3,No
CUST-00092,Female,41,Yes,No,1,Month-to-month,Fiber optic,No,No,No,No,Electronic check,53.34,54.12,1,Yes
CUST-00093,Female,25,No,Yes,11,Month-to-month,None,Yes,No,No,No,Electronic check,33.75,348.4,0,No
CUST-00094,Female,41,Yes,No,12,Month-to-month,None,Yes,No,No,No,Credit card,43.8,486.58,2,No
CUST-00095,Female,25,No,No,8,Month-to-month,None,Yes,No,No,No,Electronic check,45.38,387.9,2,No
CUST-00096,Male,39,Yes,Yes,36,Two year,DSL,Yes,No,Yes,No,Electronic check,77.76,2962.87,2,No
CUST-00097,Male,32,No,Yes,19,Month-to-month,None,Yes,No,No,No,Electronic check,41.3,778.16,3,No
CUST-00098,Female,64,Yes,No,24,Month-to-month,DSL,Yes,Yes,Yes,No,Electronic check,101.74,2277.29,3,Yes
CUST-00099,Male,30,No,No,9,Month-to-month,Fiber optic,Yes,No,No,Yes,Mailed check,97.78,841.28,3,Yes
CUST-00100,Male,45,No,No,58,Two year,DSL,Yes,Yes,No,Yes,Bank transfer,76.01,3979.21,3,No
CUST-00101,Female,26,No,Yes,53,One year,DSL,Yes,No,No,No,Electronic check,68.97,3588.8,2,No
CUST-00102,Female,50,No,Yes,26,One year,None,Yes,No,No,No,Bank transfer,40.96,1203.49,2,No
CUST-00103,Male,42,Yes,No,72,Two year,DSL,Yes,Yes,Yes,No,Credit card,97.68,6731.21,3,No
CUST-00104,Female,23,Yes,No,34,Two year,None,Yes,No,No,No,Bank transfer,42.36,1464.63,2,No
CUST-00105,Male,38,Yes,No,18,One year,DSL,Yes,Yes,No,Yes,Bank transfer,106.78,2072.2,0,No
CUST-00106,Male,61,No,No,26,One year,DSL,Yes,Yes,No,Yes,Electronic check,105.92,2840.78,5,No
CUST-00107,Female,49,No,Yes,15,One year,DSL,Yes,No,No,No,Electronic check,67.12,1033.42,2,No
CUST-00108,Female,28,Yes,No,10,Month-to-month,DSL,Yes,Yes,No,Yes,Credit card,91.52,931.38,0,Yes
CUST-00109,Female,46,Yes,Yes,27,Month-to-month,None,Yes,No,No,No,Bank transfer,38.08,1064.87,1,No
CUST-00110,Female,18,Yes,No,19,Month-to-month,None,Yes,No,No,No,Mailed check,43.54,822.73,3,No
CUST-00111,Female,35,Yes,No,52,Month-to-month,None,Yes,No,No,No,Electronic check,37.57,2112.8,0,No
CUST-00112,Male,29,No,No,22,Month-to-month,DSL,Yes,No,No,Yes,Mailed check,82.51,1854.84,2,Yes
CUST-00113,Female,58,No,Yes,68,Month-to-month,None,Yes,No,No,No,Electronic check,40.51,2901.49,2,No
CUST-00114,Male,40,No,No,1,Month-to-month,DSL,No,No,No,Yes,Credit card,52.31,52.31,3,Yes
CUST-00115,Female,62,No,Yes,18,Month-to-month,Fiber optic,Yes,No,No,No,Electronic check,80.13,1535.93,3,Yes
CUST-00116,Female,30,Yes,No,38,Month-to-month,None,Yes,No,No,No,Mailed check,41.69,1605.22,2,No
CUST-00117,Male,44,No,Yes,28,One year,Fiber optic,No,Yes,Yes,No,Electronic check,98.2,2787.64,4,Yes
CUST-00118,Female,55,Yes,Yes,7,Month-to-month,DSL,Yes,No,No,Yes,Credit card,85.31,596.45,1,No
CUST-00119,Female,31,No,No,1,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Credit card,122.89,131.85,6,Yes
CUST-00120,Female,37,Yes,No,14,Two year,None,Yes,No,No,No,Bank transfer,43.39,600.72,5,No
CUST-00121,Male,51,No,No,24,One year,Fiber optic,Yes,Yes,Yes,Yes,Bank transfer,151.14,3777.89,0,No
CUST-00122,Male,36,Yes,No,71,Two year,None,Yes,No,No,No,Electronic check,46.84,3447.74,0,No
CUST-00123,Female,35,No,No,23,One year,DSL,Yes,No,Yes,No,Electronic check,72.42,1622.53,2,No
CUST-00124,Female,48,Yes,No,60,One year,Fiber optic,Yes,Yes,No,No,Credit card,112.79,6809.09,3,No
CUST-00125,Female,53,No,No,11,Month-to-month,DSL,Yes,No,No,No,Bank transfer,76.74,943.91,1,No
CUST-00126,Female,40,No,No,24,One year,Fiber optic,No,No,Yes,No,Electronic check,83.86,1795.05,4,Yes
CUST-00127,Female,53,No,Yes,41,One year,Fiber optic,Yes,No,No,No,Electronic check,102.7,4323.37,1,No
CUST-00128,Male,18,Yes,No,41,Two year,Fiber optic,Yes,No,No,No,Credit card,106.17,3975.57,2,No
CUST-00129,Female,64,No,No,67,Two year,None,Yes,No,No,No,Bank transfer,36.66,2443.59,3,No
CUST-00130,Female,59,No,No,42,One year,Fiber optic,Yes,No,No,No,Credit card,77.72,3151.1,4,No
CUST-00131,Male,38,No,No,13,Month-to-month,Fiber optic,Yes,No,No,No,Electronic check,96.23,1257.69,3,No
CUST-00132,Female,62,Yes,No,46,Two year,Fiber optic,Yes,Yes,Yes,No,Bank transfer,111.76,5285.14,1,No
CUST-00133,Female,40,No,No,16,Month-to-month,Fiber optic,Yes,No,No,No,Bank transfer,82.95,1335.38,4,Yes
CUST-00134,Male,18,No,Yes,17,Month-to-month,DSL,Yes,No,No,No,Bank transfer,75.24,1200.45,1,No
CUST-00135,Female,52,No,Yes,10,One year,DSL,Yes,No,No,Yes,Credit card,91.37,889.78,3,No
CUST-00136,Female,44,No,No,4,Month-to-month,None,Yes,No,No,No,Bank transfer,50.86,200.7,5,No
CUST-00137,Female,29,Yes,Yes,64,Month-to-month,Fiber optic,Yes,No,No,Yes,Mailed check,98.5,7009.97,6,No
CUST-00138,Female,51,Yes,Yes,43,One year,Fiber optic,Yes,No,No,No,Credit card,101.8,4209.51,2,Yes
CUST-00139,Male,48,No,No,25,One year,None,Yes,No,No,No,Bank transfer,41.34,1056.62,2,No
CUST-00140,Male,33,No,No,49,Two year,Fiber optic,Yes,No,No,Yes,Credit card,85.56,3559.48,3,No
CUST-00141,Female,47,Yes,Yes,25,One year,Fiber optic,Yes,No,No,Yes,Bank transfer,123.66,3200.76,5,No
CUST-00142,Male,58,Yes,Yes,72,Two year,None,Yes,No,No,No,Mailed check,37.35,2741.7,0,No
CUST-00143,Female,43,No,No,38,Two year,Fiber optic,Yes,Yes,Yes,Yes,Credit card,130.13,5499.05,2,No
CUST-00144,Male,38,Yes,Yes,8,Month-to-month,Fiber optic,Yes,No,No,No,Electronic check,91.48,808.82,3,Yes
CUST-00145,Male,50,No,Yes,27,One year,DSL,Yes,Yes,Yes,No,Credit card,90.02,2610.39,0,No
CUST-00146,Male,22,Yes,Yes,12,Month-to-month,DSL,Yes,No,Yes,No,Mailed check,69.16,913.66,3,No
CUST-00147,Male,48,No,Yes,8,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Electronic check,123.8,1085.43,6,Yes
CUST-00148,Male,20,Yes,Yes,11,Month-to-month,DSL,Yes,Yes,No,No,Credit card,73.37,807.91,1,No
CUST-00149,Male,48,No,No,45,Two year,Fiber optic,No,No,No,Yes,Credit card,94.52,4517.79,4,No
CUST-00150,Female,31,Yes,No,36,One year,DSL,Yes,Yes,No,No,Bank transfer,66.99,2343.67,1,No
CUST-00151,Male,43,No,Yes,11,Two year,DSL,Yes,No,No,No,Mailed check,74.19,754.49,2,No
CUST-00152,Female,46,No,Yes,54,Two year,None,Yes,No,No,No,Electronic check,42.29,2489.69,2,No
CUST-00153,Female,42,No,No,42,One year,Fiber optic,Yes,No,Yes,No,Electronic check,108.63,4879.01,2,Yes
CUST-00154,Female,45,Yes,No,42,Two year,Fiber optic,Yes,No,No,No,Bank transfer,107.55,4362.47,2,No
CUST-00155,Male,56,No,Yes,39,Two year,None,Yes,No,No,No,Credit card,42.98,1645.67,3,No
CUST-00156,Male,23,Yes,No,50,Two year,None,Yes,No,No,No,Bank transfer,43.69,2229.18,1,No
CUST-00157,Female,25,No,No,38,Month-to-month,DSL,Yes,No,Yes,No,Credit card,86.26,3199.15,2,Yes
CUST-00158,Male,55,Yes,No,6,Month-to-month,Fiber optic,Yes,Yes,No,No,Electronic check,78.14,497.38,2,Yes
CUST-00159,Male,57,Yes,Yes,72,Month-to-month,DSL,Yes,No,No,Yes,Bank transfer,94.28,6616.91,0,No
CUST-00160,Female,53,Yes,Yes,37,One year,Fiber optic,Yes,No,Yes,No,Bank transfer,109.25,4005.22,7,No
CUST-00161,Male,39,No,Yes,26,Month-to-month,DSL,Yes,No,Yes,No,Bank transfer,74.41,2011.48,0,No
CUST-00162,Male,41,Yes,No,26,Two year,DSL,Yes,No,No,Yes,Bank transfer,79.07,2127.65,2,No
CUST-00163,Male,51,No,No,13,One year,None,Yes,No,No,No,Electronic check,44.06,584.98,3,No
CUST-00164,Male,42,No,Yes,7,Month-to-month,DSL,Yes,No,No,Yes,Credit card,77.61,496.89,2,No
CUST-00165,Female,36,No,No,41,One year,None,Yes,No,No,No,Mailed check,41.62,1702.81,0,No
CUST-00166,Female,67,No,No,9,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Credit card,107.95,975.8,0,No
CUST-00167,Male,50,Yes,No,1,Month-to-month,DSL,Yes,No,No,No,Bank transfer,76.0,82.7,1,Yes
CUST-00168,Female,53,Yes,No,41,One year,DSL,Yes,Yes,No,Yes,Bank transfer,90.99,3823.39,2,No
CUST-00169,Male,70,Yes,No,29,Month-to-month,None,Yes,No,No,No,Bank transfer,39.95,1173.83,2,No
CUST-00170,Male,22,No,No,5,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Credit card,131.25,688.97,5,Yes
CUST-00171,Female,19,No,Yes,55,Two year,DSL,Yes,No,Yes,No,Mailed check,74.72,4389.59,4,No
CUST-00172,Male,37,Yes,No,9,One year,Fiber optic,Yes,No,Yes,No,Bank transfer,90.06,843.5,1,Yes
CUST-00173,Male,57,No,No,71,Two year,Fiber optic,No,No,No,Yes,Credit card,82.71,6039.6,4,No
CUST-00174,Male,60,No,Yes,15,Two year,DSL,Yes,No,No,No,Credit card,73.32,1048.86,1,No
CUST-00175,Male,68,No,No,45,Two year,Fiber optic,Yes,Yes,No,No,Mailed check,108.29,4658.29,1,No
CUST-00176,Male,42,Yes,Yes,43,Two year,DSL,Yes,No,No,No,Credit card,63.92,2822.03,3,No
CUST-00177,Male,44,No,No,72,Two year,DSL,Yes,No,No,No,Mailed check,73.76,5665.04,4,No
CUST-00178,Female,63,No,No,7,Month-to-month,None,Yes,No,No,No,Electronic check,40.53,272.36,3,Yes
CUST-00179,Female,44,Yes,Yes,38,One year,None,Yes,No,No,No,Bank transfer,44.72,1635.57,3,No
CUST-00180,Male,43,No,No,4,Month-to-month,DSL,Yes,Yes,No,No,Bank transfer,91.17,372.24,3,No
CUST-00181,Female,32,No,No,3,Month-to-month,Fiber optic,Yes,No,No,No,Bank transfer,109.31,314.93,3,Yes
CUST-00182,Female,60,Yes,No,22,One year,None,Yes,No,No,No,Credit card,46.08,1060.73,3,No
CUST-00183,Female,28,Yes,Yes,45,One year,DSL,No,No,No,No,Electronic check,52.64,2346.37,1,No
CUST-00184,Male,22,No,Yes,46,One year,None,Yes,No,No,No,Mailed check,38.79,1742.48,1,No
CUST-00185,Female,54,No,No,72,Two year,Fiber optic,Yes,No,No,No,Bank transfer,83.83,5724.39,1,No
CUST-00186,Male,61,No,No,62,One year,Fiber optic,Yes,No,No,No,Electronic check,90.32,5188.03,7,No
CUST-00187,Female,47,Yes,No,38,One year,None,Yes,No,No,No,Bank transfer,38.05,1500.14,1,No
CUST-00188,Female,53,No,No,1,Month-to-month,None,Yes,No,No,No,Credit card,41.66,42.63,3,No
CUST-00189,Male,51,Yes,No,16,Month-to-month,DSL,Yes,Yes,No,No,Electronic check,88.33,1472.23,3,No
CUST-00190,Female,69,No,No,40,Month-to-month,DSL,No,No,No,Yes,Electronic check,64.13,2604.76,1,No
CUST-00191,Female,27,Yes,Yes,48,Two year,Fiber optic,Yes,No,No,Yes,Electronic check,112.81,5085.13,2,No
CUST-00192,Male,39,Yes,No,1,Month-to-month,DSL,Yes,No,No,Yes,Bank transfer,84.72,84.72,2,Yes
CUST-00193,Male,45,No,No,23,One year,Fiber optic,Yes,No,No,No,Electronic check,81.86,2025.57,2,No
CUST-00194,Female,50,No,No,35,Month-to-month,DSL,Yes,No,No,Yes,Electronic check,97.61,3694.09,2,No
CUST-00195,Male,31,Yes,No,34,Month-to-month,DSL,Yes,No,No,No,Bank transfer,76.73,2771.38,3,No
CUST-00196,Male,36,No,Yes,25,One year,None,Yes,No,No,No,Electronic check,37.29,957.18,1,No
CUST-00197,Male,63,Yes,Yes,53,Month-to-month,None,Yes,No,No,No,Mailed check,41.72,2362.09,0,No
CUST-00198,Male,44,Yes,No,32,Two year,None,Yes,No,No,No,Credit card,37.6,1136.42,4,No
CUST-00199,Female,55,No,No,45,Two year,None,Yes,No,No,No,Electronic check,46.13,2055.89,3,No
CUST-00200,Female,66,Yes,No,20,Month-to-month,DSL,No,No,Yes,Yes,Credit card,65.7,1414.77,1,Yes
CUST-00201,Male,47,Yes,Yes,61,One year,Fiber optic,Yes,No,No,No,Bank transfer,105.24,6338.79,4,No
CUST-00202,Female,54,Yes,No,7,Month-to-month,None,No,No,No,No,Electronic check,21.28,147.54,0,Yes
CUST-00203,Female,29,Yes,No,70,Two year,Fiber optic,Yes,Yes,No,No,Electronic check,99.17,6639.34,2,No
CUST-00204,Female,19,No,No,26,Two year,Fiber optic,Yes,Yes,Yes,Yes,Electronic check,140.29,3600.33,2,No
CUST-00205,Female,51,No,No,7,Month-to-month,Fiber optic,Yes,Yes,No,Yes,Mailed check,109.46,838.87,3,No
CUST-00206,Female,48,No,No,70,Month-to-month,Fiber optic,Yes,No,No,Yes,Credit card,96.81,6802.95,1,No
CUST-00207,Female,65,Yes,No,2,Month-to-month,Fiber optic,Yes,No,Yes,No,Bank transfer,99.33,202.79,4,Yes
CUST-00208,Female,33,Yes,Yes,11,Month-to-month,None,Yes,No,No,No,Bank transfer,41.94,471.99,2,No
CUST-00209,Female,37,Yes,No,58,Two year,Fiber optic,Yes,No,No,Yes,Mailed check,102.29,6095.88,2,No
CUST-00210,Male,55,Yes,No,17,Two year,DSL,Yes,Yes,Yes,Yes,Bank transfer,111.57,2018.7,0,No
CUST-00211,Female,38,No,Yes,13,Month-to-month,DSL,Yes,Yes,No,Yes,Electronic check,92.5,1066.85,1,Yes
CUST-00212,Female,35,No,No,23,Month-to-month,None,Yes,No,No,No,Credit card,44.8,1037.63,3,No
CUST-00213,Female,19,No,Yes,60,Two year,DSL,Yes,No,No,Yes,Electronic check,85.7,5048.02,2,No
CUST-00214,Male,46,No,No,50,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Bank transfer,109.2,5370.5,4,Yes
CUST-00215,Female,39,Yes,No,4,Month-to-month,None,No,No,No,No,Electronic check,18.19,69.24,1,No
CUST-00216,Male,46,Yes,Yes,28,One year,Fiber optic,Yes,Yes,Yes,No,Bank transfer,113.47,3247.53,3,No
CUST-00217,Female,42,Yes,Yes,5,Month-to-month,Fiber optic,Yes,Yes,Yes,No,Electronic check,103.57,493.72,6,Yes
CUST-00218,Male,26,No,Yes,5,Month-to-month,Fiber optic,Yes,No,Yes,Yes,Bank transfer,104.12,536.43,3,Yes
CUST-00219,Male,57,No,Yes,41,One year,Fiber optic,Yes,No,No,Yes,Electronic check,109.63,3831.15,0,No
CUST-00220,Male,60,Yes,No,39,One year,DSL,Yes,Yes,No,No,Electronic check,81.48,3245.32,3,No
CUST-00221,Male,32,Yes,No,1,Two year,None,Yes,No,No,No,Bank transfer,39.45,39.45,0,No
CUST-00222,Male,62,No,No,18,One year,DSL,Yes,Yes,No,Yes,Credit card,97.69,1642.69,2,No
CUST-00223,Female,50,Yes,No,16,Month-to-month,DSL,Yes,Yes,No,No,Credit card,74.44,1282.12,4,No
CUST-00224,Male,43,No,No,24,One year,Fiber optic,Yes,Yes,No,No,Electronic check,105.01,2394.52,6,Yes
CUST-00225,Male,60,Yes,No,2,Month-to-month,DSL,Yes,No,No,No,Electronic check,71.42,141.12,3,No
CUST-00226,Male,58,Yes,Yes,46,One year,Fiber optic,Yes,Yes,No,No,Mailed check,111.39,5832.58,1,No
CUST-00227,Female,36,No,Yes,31,Month-to-month,None,Yes,No,No,No,Electronic check,34.62,967.9,2,No
CUST-00228,Female,39,Yes,Yes,39,One year,DSL,Yes,No,No,No,Credit card,62.82,2305.2,0,No
CUST-00229,Female,51,No,No,4,Month-to-month,DSL,Yes,Yes,Yes,Yes,Credit card,110.18,450.97,2,Yes
CUST-00230,Female,74,Yes,No,35,One year,None,Yes,No,No,No,Bank transfer,36.79,1375.61,2,No
CUST-00231,Female,51,No,No,50,Two year,None,Yes,No,No,No,Electronic check,40.38,2054.31,3,No
