marque,modele,annee,kilometrage,carburant,transmission,puissance_cv,nb_portes,couleur,nb_proprietaires,prix
Mercedes,GLA,2021,58786,Hybride,Manuelle,232,5,Gris,1,26900
Peugeot,3008,2023,22734,Essence,Automatique,70,5,Noir,2,22400
Peugeot,5008,2017,41096,Diesel,Manuelle,82,5,Blanc,3,15300
Citroen,C3 Aircross,2016,66885,Hybride,Manuelle,102,5,Rouge,2,9600
Peugeot,308,2015,223518,Essence,Automatique,89,5,Vert,1,8200
Renault,Megane,2018,110697,Essence,Manuelle,101,5,Vert,2,8800
Peugeot,5008,2024,933,Diesel,Manuelle,106,5,Vert,1,29300
Mercedes,Classe A,2024,670,Essence,Manuelle,144,5,Noir,3,26300
Toyota,Corolla,2018,164273,Hybride,Manuelle,98,5,Noir,2,11300
Citroen,C5 Aircross,2020,33717,Essence,Manuelle,90,5,Argent,3,15900
Audi,A1,2021,50333,Electrique,Manuelle,179,5,Argent,3,24100
Mercedes,GLA,2022,42162,Essence,Automatique,134,5,Bleu,1,30200
Peugeot,5008,2018,111403,Essence,Manuelle,169,5,Noir,1,20600
Mercedes,Classe A,2023,21973,Diesel,Manuelle,208,5,Bleu,2,27800
Toyota,RAV4,2023,8732,Electrique,Automatique,125,5,Gris,1,42400
Toyota,C-HR,2024,1824,Diesel,Automatique,163,5,Rouge,1,28800
Mercedes,GLA,2015,149054,Essence,Manuelle,191,3,Argent,1,16200
Citroen,C5 Aircross,2024,100,Diesel,Manuelle,115,5,Blanc,2,27200
Citroen,C3 Aircross,2015,136787,Hybride,Automatique,141,3,Bleu,2,9100
Volkswagen,Passat,2022,24067,Hybride,Automatique,188,5,Gris,2,39300
Volkswagen,T-Roc,2024,100,Diesel,Manuelle,166,3,Noir,2,26300
Mercedes,GLC,2018,75826,Essence,Manuelle,148,5,Vert,3,23200
Mercedes,Classe C,2021,48990,Essence,Automatique,210,5,Gris,1,34000
Renault,Megane,2020,30315,Hybride,Manuelle,102,3,Blanc,2,14100
BMW,Serie 1,2022,38293,Essence,Manuelle,183,5,Blanc,1,22300
BMW,Serie 3,2022,55911,Essence,Automatique,189,5,Rouge,2,31100
Toyota,Corolla,2022,15595,Hybride,Manuelle,70,5,Gris,1,25800
Renault,Scenic,2021,44335,Essence,Automatique,99,5,Noir,3,19100
Audi,A1,2023,9292,Diesel,Manuelle,184,5,Blanc,2,26000
Audi,A3,2017,130663,Hybride,Automatique,262,5,Vert,1,19400
Peugeot,308,2021,56732,Essence,Automatique,151,5,Rouge,1,19800
Peugeot,308,2017,52336,Diesel,Manuelle,70,5,Bleu,4,11300
Volkswagen,Polo,2024,115,Diesel,Manuelle,219,5,Noir,2,16800
Mercedes,Classe A,2020,45547,Essence,Automatique,235,5,Rouge,3,25800
Renault,Megane,2015,124161,Hybride,Manuelle,97,5,Gris,2,8500
Volkswagen,Passat,2023,28156,Hybride,Manuelle,125,5,Argent,2,34500
Citroen,C3,2018,86872,Electrique,Automatique,126,5,Argent,1,11100
Audi,A1,2024,366,Diesel,Automatique,237,3,Blanc,1,30900
Renault,Clio,2022,13219,Hybride,Automatique,77,5,Gris,1,17100
Citroen,C3 Aircross,2015,74950,Diesel,Automatique,134,5,Argent,2,9400
Audi,A1,2016,58764,Electrique,Automatique,220,3,Rouge,2,17100
Citroen,C5 Aircross,2022,41049,Hybride,Manuelle,70,3,Noir,3,20400
Citroen,C5 Aircross,2024,404,Essence,Manuelle,90,5,Rouge,2,26600
BMW,Serie 3,2021,48782,Essence,Manuelle,212,3,Argent,1,30600
BMW,Serie 1,2019,137991,Essence,Manuelle,166,5,Blanc,1,15300
Citroen,C3,2022,16786,Essence,Manuelle,70,5,Bleu,4,9800
Toyota,Yaris,2019,68380,Hybride,Automatique,179,5,Bleu,1,12800
Audi,Q3,2020,73149,Essence,Manuelle,148,5,Argent,3,19700
BMW,X1,2021,64595,Diesel,Manuelle,152,5,Vert,1,25700
Volkswagen,Passat,2016,37364,Essence,Manuelle,137,5,Gris,1,15500
Audi,Q3,2020,74829,Diesel,Manuelle,214,3,Blanc,1,23000
Toyota,RAV4,2017,91002,Diesel,Automatique,127,5,Bleu,3,15600
Citroen,C5 Aircross,2023,6927,Electrique,Manuelle,82,5,Rouge,3,29400
Citroen,C3 Aircross,2021,47987,Essence,Automatique,85,5,Rouge,2,15200
Renault,Clio,2015,119614,Essence,Automatique,98,3,Blanc,4,5600
Mercedes,GLC,2019,64421,Essence,Automatique,186,5,Noir,1,30600
Peugeot,308,2018,128286,Essence,Manuelle,96,5,Gris,2,10900
Peugeot,308,2016,70272,Hybride,Automatique,143,5,Blanc,4,13000
Audi,Q3,2019,27130,Essence,Automatique,140,5,Bleu,2,22600
Volkswagen,T-Roc,2022,24365,Essence,Manuelle,196,3,Rouge,1,17400
Toyota,RAV4,2024,1474,Diesel,Manuelle,121,5,Argent,1,30400
Volkswagen,Passat,2019,44560,Electrique,Manuelle,208,5,Vert,2,27900
Audi,A4,2023,18297,Essence,Manuelle,166,5,Vert,2,32200
BMW,X3,2018,123520,Electrique,Manuelle,231,3,Rouge,1,31200
BMW,X1,2016,158429,Essence,Automatique,190,5,Vert,2,16200
Peugeot,3008,2022,33028,Hybride,Automatique,173,5,Argent,3,28600
Peugeot,2008,2023,10246,Hybride,Automatique,101,5,Gris,4,26100
Volkswagen,Passat,2022,31267,Essence,Manuelle,157,5,Bleu,1,24300
Citroen,C3,2020,81488,Hybride,Automatique,70,5,Bleu,2,9300
Peugeot,208,2017,56341,Hybride,Manuelle,70,5,Argent,1,8700
Citroen,C3,2016,177403,Essence,Automatique,119,5,Argent,1,6200
Toyota,C-HR,2022,50771,Essence,Automatique,83,5,Rouge,1,16200
Audi,Q3,2022,14279,Essence,Automatique,84,5,Bleu,3,24900
Renault,Scenic,2018,107978,Essence,Manuelle,152,5,Bleu,2,12600
Renault,Kadjar,2022,41019,Essence,Manuelle,107,5,Bleu,1,17800
Renault,Captur,2020,61135,Diesel,Manuelle,169,3,Blanc,2,14400
Renault,Captur,2016,130851,Essence,Manuelle,88,5,Vert,2,8500
Audi,Q5,2020,72446,Electrique,Manuelle,189,5,Gris,3,36800
BMW,X3,2015,163234,Hybride,Automatique,87,5,Argent,1,22000
Renault,Clio,2023,17872,Diesel,Automatique,102,5,Argent,2,16700
Peugeot,308,2023,17775,Essence,Manuelle,70,5,Noir,1,20400
Toyota,C-HR,2023,27056,Diesel,Manuelle,74,5,Noir,2,19700
Citroen,C3,2024,512,Diesel,Manuelle,158,5,Gris,1,17000
Mercedes,GLA,2021,48079,Essence,Manuelle,110,5,Bleu,1,25500
Volkswagen,T-Roc,2017,76477,Hybride,Manuelle,102,5,Vert,2,12600
Mercedes,GLA,2022,25917,Electrique,Manuelle,203,3,Rouge,2,32100
BMW,Serie 1,2020,87771,Diesel,Manuelle,216,5,Blanc,1,19800
Toyota,RAV4,2016,149080,Diesel,Automatique,92,5,Rouge,1,15100
Citroen,C5 Aircross,2016,213045,Essence,Manuelle,88,5,Blanc,1,9400
Toyota,Yaris,2023,15898,Diesel,Automatique,127,5,Argent,1,19800
Toyota,Yaris,2018,69505,Essence,Manuelle,111,3,Rouge,1,8300
Audi,Q5,2022,35809,Diesel,Manuelle,241,5,Noir,1,38700
Citroen,C4,2021,34257,Diesel,Automatique,126,5,Noir,1,16500
Renault,Kadjar,2015,43502,Essence,Automatique,87,5,Bleu,2,10800
Peugeot,208,2019,89340,Hybride,Manuelle,77,5,Rouge,1,10000
Renault,Clio,2015,92032,Diesel,Automatique,135,5,Argent,2,7400
Volkswagen,Golf,2015,138385,Essence,Automatique,149,5,Bleu,3,10500
Mercedes,Classe A,2017,121082,Essence,Automatique,234,3,Argent,1,19000
Mercedes,Classe C,2015,199232,Essence,Manuelle,126,5,Rouge,1,13800
Renault,Kadjar,2018,61387,Diesel,Manuelle,155,5,Gris,2,16400
Peugeot,308,2023,14732,Electrique,Manuelle,91,5,Bleu,2,22800
Volkswagen,Polo,2019,39379,Diesel,Manuelle,103,5,Argent,2,11400
Citroen,C3 Aircross,2020,73106,Hybride,Manuelle,92,3,Vert,2,10900
Mercedes,Classe C,2022,15760,Essence,Manuelle,179,3,Bleu,2,37700
Toyota,RAV4,2021,40817,Diesel,Automatique,140,5,Noir,3,25600
Renault,Clio,2022,38060,Diesel,Manuelle,107,5,Noir,1,14400
BMW,X3,2015,106682,Diesel,Manuelle,184,5,Rouge,1,22600
Mercedes,GLA,2015,102784,Essence,Manuelle,214,5,Gris,2,16700
Toyota,Corolla,2020,47004,Essence,Manuelle,128,5,Noir,1,17000
Volkswagen,Tiguan,2023,23774,Essence,Automatique,117,5,Argent,2,28400
Audi,Q3,2016,102884,Electrique,Manuelle,127,5,Blanc,1,14700
Volkswagen,Tiguan,2019,79981,Essence,Automatique,97,5,Bleu,3,19700
Peugeot,5008,2019,43363,Essence,Manuelle,85,5,Rouge,1,19700
Toyota,Yaris,2018,75900,Diesel,Automatique,119,5,Gris,1,11600
Citroen,C3 Aircross,2021,60644,Diesel,Manuelle,149,5,Gris,4,13100
Audi,A4,2024,3233,Hybride,Automatique,257,5,Blanc,2,54800
BMW,Serie 3,2024,957,Essence,Automatique,218,5,Vert,1,49700
Audi,A4,2019,64985,Diesel,Automatique,157,5,Argent,2,23700
Toyota,Corolla,2020,50884,Essence,Manuelle,110,5,Rouge,2,15800
Mercedes,GLC,2018,87401,Diesel,Automatique,130,5,Bleu,3,27500
BMW,Serie 1,2018,32402,Essence,Manuelle,137,5,Gris,3,15200
Mercedes,GLA,2023,17679,Diesel,Automatique,162,5,Argent,2,38300
Mercedes,Classe A,2024,1045,Essence,Manuelle,153,5,Rouge,3,31300
Citroen,C4,2017,140568,Hybride,Manuelle,104,5,Argent,2,11200
BMW,X1,2021,14517,Hybride,Automatique,197,3,Vert,3,30800
Renault,Kadjar,2019,47913,Essence,Automatique,84,5,Noir,3,13800
BMW,X3,2023,12327,Essence,Automatique,185,5,Vert,1,43200
Mercedes,Classe C,2022,19783,Hybride,Manuelle,204,5,Rouge,4,41900
Peugeot,5008,2017,77511,Essence,Manuelle,91,3,Argent,2,15700
Renault,Scenic,2016,153630,Hybride,Manuelle,70,5,Noir,1,12800
Peugeot,208,2016,184523,Essence,Automatique,100,5,Gris,3,6100
Audi,Q5,2018,138307,Hybride,Manuelle,197,5,Argent,1,24500
Renault,Megane,2024,6056,Essence,Manuelle,87,5,Vert,2,17100
Renault,Captur,2016,112283,Essence,Manuelle,102,5,Rouge,2,7900
Mercedes,Classe A,2022,13190,Diesel,Manuelle,101,5,Gris,4,26500
Renault,Kadjar,2015,129798,Hybride,Automatique,140,5,Gris,3,11100
Volkswagen,T-Roc,2021,45162,Electrique,Automatique,102,5,Vert,2,23200
Audi,A4,2019,112453,Hybride,Automatique,189,5,Rouge,1,25200
BMW,Serie 3,2020,43288,Diesel,Automatique,73,5,Gris,3,23200
BMW,Serie 3,2019,64963,Electrique,Automatique,202,5,Argent,2,29300
Volkswagen,T-Roc,2017,91858,Essence,Automatique,156,5,Vert,1,12000
Mercedes,GLA,2018,81218,Essence,Manuelle,154,5,Bleu,3,20900
Mercedes,Classe A,2017,136112,Essence,Manuelle,101,5,Rouge,2,12100
Citroen,C3 Aircross,2018,87609,Essence,Automatique,121,5,Gris,3,10000
Renault,Kadjar,2018,91628,Diesel,Automatique,175,5,Argent,1,17000
Volkswagen,Polo,2023,13993,Essence,Automatique,103,5,Bleu,1,16300
Volkswagen,Golf,2023,5190,Electrique,Automatique,183,5,Bleu,2,34100
Audi,A3,2019,56763,Hybride,Automatique,193,5,Blanc,1,25100
Mercedes,GLA,2022,17967,Hybride,Automatique,173,5,Gris,2,42400
Renault,Scenic,2017,102834,Essence,Manuelle,175,5,Noir,2,13200
Renault,Clio,2022,24357,Essence,Manuelle,91,3,Bleu,2,12100
Renault,Scenic,2015,116517,Diesel,Manuelle,138,5,Blanc,1,13300
Citroen,C5 Aircross,2015,182068,Diesel,Manuelle,121,5,Rouge,1,9700
Renault,Scenic,2017,114815,Essence,Automatique,108,5,Rouge,1,12900
Volkswagen,T-Roc,2022,34197,Diesel,Manuelle,123,5,Vert,1,20800
Volkswagen,Golf,2016,106585,Diesel,Manuelle,132,5,Blanc,2,10300
Citroen,C3 Aircross,2023,17169,Diesel,Manuelle,107,5,Argent,1,18200
Mercedes,GLC,2017,84649,Electrique,Manuelle,122,3,Argent,2,27200
Citroen,C3,2021,37047,Essence,Automatique,147,5,Bleu,1,11600
Citroen,C4,2018,56948,Essence,Automatique,151,5,Bleu,2,12800
Renault,Captur,2024,100,Essence,Manuelle,71,5,Rouge,3,17700
Renault,Kadjar,2017,106251,Diesel,Manuelle,105,5,Argent,3,10900
Audi,A3,2018,141546,Essence,Manuelle,181,3,Noir,1,15900
BMW,X1,2024,100,Essence,Manuelle,182,5,Bleu,1,36300
Mercedes,Classe C,2018,90898,Essence,Automatique,179,5,Rouge,3,24300
Citroen,C3 Aircross,2017,140775,Hybride,Manuelle,170,5,Gris,2,10200
Citroen,C3,2022,26475,Hybride,Automatique,78,5,Gris,1,13000
Toyota,RAV4,2019,136599,Essence,Automatique,117,5,Bleu,1,18500
BMW,X1,2021,48007,Essence,Automatique,198,5,Argent,2,28800
Peugeot,3008,2020,116340,Diesel,Automatique,103,5,Rouge,4,17900
Peugeot,3008,2017,163199,Hybride,Manuelle,79,5,Gris,2,12100
Toyota,C-HR,2021,43553,Diesel,Automatique,86,5,Bleu,3,19100
Audi,A4,2022,44892,Electrique,Manuelle,240,3,Rouge,3,31800
Toyota,RAV4,2023,19271,Diesel,Manuelle,85,5,Argent,1,28000
Citroen,C3 Aircross,2022,30663,Electrique,Manuelle,110,5,Blanc,2,19900
Peugeot,3008,2020,25560,Essence,Manuelle,134,5,Rouge,3,18600
Renault,Clio,2019,110595,Essence,Automatique,105,5,Argent,1,9800
Audi,A3,2016,155413,Hybride,Automatique,122,5,Noir,2,15400
Mercedes,Classe C,2016,130567,Essence,Automatique,148,5,Argent,3,18300
Audi,A3,2022,24792,Essence,Manuelle,216,5,Bleu,3,24600
Citroen,C3,2017,99349,Electrique,Manuelle,108,5,Gris,3,9700
Mercedes,Classe C,2021,52171,Essence,Manuelle,199,5,Blanc,1,30600
Citroen,C3 Aircross,2019,70163,Electrique,Manuelle,70,5,Argent,3,10300
Renault,Kadjar,2021,42558,Hybride,Automatique,128,5,Argent,1,20800
Toyota,C-HR,2016,146422,Essence,Automatique,99,5,Rouge,1,13000
Citroen,C3,2023,19341,Diesel,Manuelle,77,5,Noir,1,14300
Volkswagen,Golf,2017,34426,Diesel,Automatique,139,5,Bleu,1,14300
Renault,Kadjar,2021,57885,Diesel,Automatique,130,3,Argent,2,21300
Audi,Q5,2023,20156,Essence,Manuelle,188,5,Blanc,2,37200
Audi,A1,2021,46121,Essence,Manuelle,174,5,Vert,2,16600
Volkswagen,Golf,2022,30900,Electrique,Manuelle,95,5,Noir,3,21800
Renault,Megane,2017,115291,Diesel,Manuelle,74,5,Bleu,1,10700
BMW,X3,2023,18510,Essence,Manuelle,125,5,Gris,3,37600
Audi,Q5,2024,673,Essence,Automatique,289,5,Argent,2,46800
BMW,Serie 1,2022,35591,Essence,Automatique,182,5,Blanc,3,26300
Mercedes,GLA,2020,63379,Essence,Automatique,181,5,Vert,1,28800
Peugeot,3008,2015,201202,Electrique,Automatique,119,5,Bleu,1,14600
Audi,Q3,2024,1405,Diesel,Automatique,137,5,Bleu,2,33400
Peugeot,3008,2023,16809,Diesel,Manuelle,88,3,Gris,4,23900
Citroen,C4,2015,106563,Diesel,Manuelle,73,5,Rouge,4,7800
Mercedes,Classe C,2023,15501,Essence,Automatique,102,5,Gris,1,44100
Citroen,C3 Aircross,2021,44928,Hybride,Manuelle,70,5,Blanc,1,15300
Audi,Q3,2023,5177,Hybride,Manuelle,147,5,Noir,3,37400
Mercedes,Classe A,2022,33146,Essence,Manuelle,301,3,Argent,1,33200
Peugeot,5008,2018,106934,Hybride,Automatique,70,5,Blanc,1,18100
Citroen,C4,2023,18162,Hybride,Automatique,92,5,Blanc,1,25600
Mercedes,GLA,2024,1567,Hybride,Automatique,212,5,Blanc,1,43600
Toyota,Corolla,2015,234134,Essence,Automatique,126,5,Gris,3,8900
Mercedes,GLA,2024,1264,Essence,Automatique,152,5,Bleu,1,36300
Renault,Clio,2021,18272,Diesel,Manuelle,133,3,Gris,3,12200
Audi,A3,2015,133651,Essence,Automatique,189,5,Gris,2,14500
Toyota,C-HR,2020,67502,Hybride,Automatique,70,5,Blanc,3,19200
Mercedes,Classe C,2022,30576,Essence,Manuelle,118,5,Argent,1,31300
Renault,Kadjar,2019,56482,Diesel,Manuelle,105,5,Rouge,3,13600
Mercedes,GLA,2021,35625,Hybride,Manuelle,131,5,Blanc,1,28100
BMW,Serie 1,2024,100,Hybride,Automatique,87,5,Gris,2,29900
Peugeot,208,2017,69723,Diesel,Automatique,88,3,Argent,1,9300
Renault,Kadjar,2017,161193,Essence,Manuelle,145,5,Blanc,2,11700
Citroen,C5 Aircross,2016,112233,Diesel,Automatique,84,3,Bleu,3,13200
Renault,Kadjar,2017,102650,Hybride,Manuelle,84,5,Vert,3,12100
Mercedes,GLA,2018,138846,Essence,Automatique,258,5,Bleu,1,24400
Mercedes,Classe A,2019,85683,Essence,Manuelle,145,5,Gris,2,16800
Citroen,C4,2024,4902,Essence,Manuelle,101,5,Vert,2,21400
BMW,X1,2024,277,Electrique,Manuelle,160,5,Gris,2,48000
Renault,Kadjar,2015,150836,Hybride,Manuelle,70,5,Noir,2,10600
Peugeot,3008,2019,69278,Diesel,Automatique,71,5,Vert,1,18400
BMW,X3,2018,66866,Hybride,Manuelle,216,3,Rouge,1,30700
Peugeot,3008,2019,99274,Hybride,Manuelle,106,5,Blanc,1,18200
Mercedes,Classe C,2018,93697,Essence,Automatique,208,5,Noir,3,26900
Renault,Clio,2019,66231,Diesel,Automatique,100,5,Argent,2,10800
BMW,Serie 1,2019,112951,Essence,Manuelle,259,5,Rouge,2,17000
Peugeot,208,2015,204009,Hybride,Manuelle,143,3,Noir,2,7800
BMW,X1,2021,30072,Essence,Automatique,192,5,Blanc,2,30100
Citroen,C3 Aircross,2024,100,Essence,Manuelle,177,3,Vert,1,23300
Renault,Scenic,2021,49084,Essence,Manuelle,106,5,Rouge,3,18200
BMW,Serie 1,2023,15595,Hybride,Manuelle,211,5,Blanc,2,33400
Renault,Scenic,2023,14675,Essence,Manuelle,141,5,Blanc,3,29200
Citroen,C3 Aircross,2019,115718,Essence,Manuelle,70,5,Vert,1,9600
Renault,Clio,2016,166527,Diesel,Automatique,70,5,Argent,2,6700
Audi,A4,2021,29312,Hybride,Automatique,212,5,Bleu,2,33900
Peugeot,5008,2022,22904,Hybride,Automatique,131,5,Noir,3,31900
Citroen,C3,2017,156211,Essence,Manuelle,118,5,Vert,2,6600
Toyota,RAV4,2024,2823,Diesel,Manuelle,164,5,Gris,1,33800
Toyota,C-HR,2016,153555,Diesel,Manuelle,116,5,Noir,2,10500
BMW,X3,2015,173401,Essence,Automatique,108,5,Bleu,2,19400
BMW,Serie 1,2018,110005,Diesel,Automatique,213,5,Blanc,2,20000
Renault,Scenic,2020,62298,Essence,Automatique,130,5,Vert,3,17700
Audi,Q5,2020,63530,Hybride,Automatique,210,3,Gris,1,42800
Mercedes,GLC,2015,124981,Essence,Manuelle,128,3,Gris,1,19800
Citroen,C5 Aircross,2019,84367,Diesel,Automatique,99,5,Gris,2,19000
Audi,A4,2021,44214,Essence,Automatique,211,5,Gris,3,32000
Toyota,Corolla,2021,49987,Essence,Automatique,158,5,Blanc,1,19800
Volkswagen,Golf,2015,120945,Essence,Automatique,194,5,Argent,2,12000
BMW,X1,2022,42741,Diesel,Manuelle,159,5,Bleu,1,28000
Audi,A3,2015,177704,Hybride,Automatique,201,5,Gris,2,13500
Audi,A1,2017,81978,Diesel,Automatique,209,5,Argent,1,15500
Mercedes,Classe A,2021,66534,Hybride,Manuelle,251,5,Noir,1,27800
Volkswagen,Golf,2020,77027,Electrique,Manuelle,125,5,Rouge,1,19800
Volkswagen,Golf,2021,19875,Essence,Automatique,169,5,Argent,3,23300
Audi,A4,2021,41291,Essence,Automatique,174,5,Rouge,1,28800
Peugeot,2008,2022,20976,Essence,Manuelle,155,5,Noir,1,19700
Peugeot,5008,2023,593,Hybride,Manuelle,101,5,Bleu,2,34700
Audi,Q5,2015,140965,Hybride,Manuelle,166,5,Blanc,2,21300
Citroen,C4,2020,56354,Hybride,Manuelle,135,5,Argent,4,14800
Audi,A1,2020,82819,Essence,Manuelle,238,5,Argent,4,16000
Mercedes,Classe A,2019,67600,Essence,Manuelle,194,5,Rouge,1,20400
Volkswagen,Polo,2015,102060,Diesel,Automatique,117,5,Vert,1,7700
Volkswagen,Polo,2021,13500,Diesel,Automatique,121,5,Rouge,2,17600
BMW,Serie 1,2021,28688,Diesel,Manuelle,158,5,Argent,2,24100
Volkswagen,Polo,2020,46532,Essence,Manuelle,144,5,Gris,1,12800
Renault,Captur,2022,51716,Essence,Automatique,116,5,Argent,1,16300
Toyota,Yaris,2017,159098,Essence,Manuelle,125,5,Blanc,2,7200
Audi,Q3,2016,180285,Diesel,Manuelle,167,5,Noir,2,14300
Renault,Kadjar,2021,64938,Essence,Manuelle,135,3,Blanc,3,15200
Audi,A3,2018,74350,Essence,Automatique,135,5,Vert,2,15100
Peugeot,308,2023,21571,Diesel,Automatique,126,3,Vert,2,21200
Renault,Scenic,2024,1329,Essence,Automatique,78,3,Argent,1,24500
BMW,X1,2024,873,Hybride,Manuelle,128,5,Noir,1,38800
Volkswagen,Polo,2019,33982,Essence,Manuelle,108,5,Vert,2,11200
Audi,A3,2024,1519,Essence,Automatique,128,5,Rouge,1,31500
Citroen,C5 Aircross,2016,143175,Essence,Manuelle,70,5,Argent,2,10900
BMW,Serie 1,2021,45362,Essence,Manuelle,186,5,Rouge,2,21600
Renault,Clio,2024,100,Hybride,Manuelle,71,5,Blanc,2,14600
Toyota,Yaris,2020,21116,Hybride,Manuelle,146,5,Gris,3,12600
Mercedes,Classe A,2022,33251,Diesel,Manuelle,70,5,Noir,4,20600
Renault,Clio,2021,29939,Diesel,Automatique,92,5,Bleu,2,13200
Peugeot,3008,2022,18058,Hybride,Automatique,157,5,Argent,1,30900
Mercedes,GLA,2018,76452,Electrique,Manuelle,184,5,Gris,1,22800
Audi,A4,2023,17980,Essence,Manuelle,104,5,Argent,3,27200
Peugeot,308,2019,66830,Diesel,Automatique,117,5,Noir,3,13600
Audi,A3,2023,13070,Essence,Manuelle,255,5,Argent,3,28200
Citroen,C4,2015,194177,Essence,Automatique,112,5,Blanc,2,7500
Citroen,C3,2023,13761,Essence,Manuelle,70,5,Rouge,2,13500
Mercedes,Classe A,2024,100,Essence,Automatique,123,5,Gris,3,31400
BMW,Serie 1,2021,37873,Hybride,Automatique,150,3,Blanc,1,26800
Citroen,C3,2024,100,Diesel,Manuelle,106,3,Gris,2,15000
Mercedes,GLC,2021,42278,Essence,Manuelle,121,5,Blanc,1,33100
Toyota,RAV4,2019,77032,Essence,Manuelle,146,5,Rouge,2,16700
Citroen,C3 Aircross,2018,110580,Essence,Manuelle,125,5,Blanc,1,10300
Volkswagen,Golf,2020,58167,Hybride,Automatique,177,5,Argent,1,21000
BMW,X3,2018,66795,Essence,Automatique,194,3,Bleu,1,29200
Toyota,RAV4,2021,37288,Diesel,Manuelle,136,5,Gris,4,25500
Audi,A3,2018,150569,Diesel,Manuelle,173,5,Blanc,1,16000
Toyota,RAV4,2021,52778,Essence,Automatique,96,5,Blanc,3,23900
Renault,Megane,2020,25294,Hybride,Manuelle,78,5,Blanc,2,16400
Mercedes,Classe A,2020,62711,Hybride,Manuelle,137,5,Noir,2,25000
Renault,Kadjar,2024,5734,Diesel,Manuelle,140,5,Rouge,3,22500
Toyota,RAV4,2018,98980,Essence,Manuelle,70,5,Bleu,1,16700
BMW,X3,2018,118539,Electrique,Automatique,223,5,Argent,1,31800
